sample	total_markers	markers_hit	frac_markers_hit	mean_marker_count
T1001A_14042014_Q2_Q3	80862	80862	1.000000	6518.793463
T1001B_14042014_Q2_Q3	84631	84631	1.000000	23775.639529
T1002A_14042014_Q2_Q3	82878	82878	1.000000	8939.378979
T1002A_17102005_D1_D2	19762	19762	1.000000	911.500607
T1002B_14042014_Q2	79547	79547	1.000000	5595.045231
T1002B_17102005_D1_D2	22808	22808	1.000000	1033.966854
T1004A_24042015_Q2_Q3	71458	71458	1.000000	3244.631014
T1004A_3022006_D1_D2	80404	80404	1.000000	4262.412081
T1004B_24042015_Q2_Q3	76474	76474	1.000000	4043.246136
T1004B_3022006_D1_D2	79876	79876	1.000000	4007.911363
T1006A_1032005_D1_D2	83115	83115	1.000000	26285.403393
T1006A_16042014_Q2_Q3	82148	82148	1.000000	11986.197156
T1006B_16042014_Q2_Q3	77224	77224	1.000000	5500.934515
T1010A_1072015_Q2_Q3	61794	61794	1.000000	1362.984869
T1010A_19072005_D1_D2	7157	7157	1.000000	349.165852
T1010B_1072015_Q2_Q3	71987	71987	1.000000	2711.378902
T1010B_19072005_D1_D2	2329	2329	1.000000	310.151567
T1011A_9042015_Q2_Q3	66098	66098	1.000000	1200.300387
T1011B_3112006_D1_D2	87055	87055	1.000000	14253.433565
T1011B_9042015_Q2_Q3	54993	54993	1.000000	1488.802229
T1013A_03102014_Q2_Q3	54979	54979	1.000000	1535.400717
T1013A_12042005_D1	82118	82118	1.000000	24028.501997
T1013A_18082006_D1_D2	62300	62300	1.000000	2409.631926
T1013B_03102014_Q2_Q3	57199	57199	1.000000	4410.341370
T1013B_12042005_D1_D2	81299	81299	1.000000	19187.544841
T1013B_18082006_D1_D2	80656	80656	1.000000	11293.551354
T1016A_03102014_Q2_Q3	62513	62513	1.000000	1091.141667
T1016A_14062006_D1_D2	20479	20479	1.000000	393.057376
T1016B_03102014_Q2_Q3	72014	72014	1.000000	3128.191602
T1016B_14062006_D1_D2	59225	59225	1.000000	751.406467
T1016B_28042005_D1_D2	66808	66808	1.000000	2748.625704
T1018A_1032005_D1_D2	79025	79025	1.000000	35475.577539
T1018A_15042014_Q2_Q3	81473	81473	1.000000	5252.686411
T1018A_26112006_D1_D2	85552	85552	1.000000	14262.993372
T1018B_1032005_D1_D2	79516	79516	1.000000	31236.338724
T1018B_15042014_Q2_Q3	83698	83698	1.000000	9661.567086
T1018B_26112006_D1_D2	86571	86571	1.000000	21064.101593
T1022A_28042006_D1_D2	85574	85574	1.000000	7918.275493
T1022A_30062015_Q2_Q3	66386	66386	1.000000	2192.495842
T1022B_28042006_D1_D2	85286	85286	1.000000	6214.929437
T1022B_30062015_Q2_Q3	60521	60521	1.000000	2395.705739
T1023A_1082005_D1_D2	77026	77026	1.000000	2584.793252
T1023A_Q2_Q3_30062015	78066	78066	1.000000	5711.653178
T1023A_30102006_D1_D2	86334	86334	1.000000	8942.426854
T1023B_1082005_D1_D2	78967	78967	1.000000	4862.405549
T1023B_30062015_Q2_Q3	73207	73207	1.000000	4826.153305
T1023B_30102006_D1_D2	81832	81832	1.000000	3508.116128
T1026A_03102014_Q2_Q3	74835	74835	1.000000	2621.455883
T1026A_27022007_D1_D2	87606	87606	1.000000	21730.970813
T1026A_28042005_D1_D2	78986	78986	1.000000	12593.340984
T1026B_03102014_Q2_Q3	49848	49848	1.000000	586.766631
T1026B_27022007_D1_D2	87087	87087	1.000000	12342.411680
T1026B_28042005_D1_D2	78291	78291	1.000000	24372.119030
T1028A_21072005_D1_D2	9420	9420	1.000000	307.811465
T1028A_3102006_D1_D2	75769	75769	1.000000	3380.180575
T1028A_8072015_Q2_Q3	67172	67172	1.000000	5031.314566
T1028B_21072005_D1_D2	2327	2327	1.000000	658.659218
T1028B_3102006_D1_D2	82856	82856	1.000000	12632.142874
T1028B_8072015_Q2_Q3	62622	62622	1.000000	1584.448516
